user_id,username,role,window_start,window_end,records_accessed,failed_logins,off_hours_flag,distinct_ips,actions_per_minute,after_midnight_flag
1,admin,admin,2026-05-24 10:03:26,2026-05-24 11:03:26,0,0,0,1,0.0667,0
1,admin,admin,2026-05-25 20:03:26,2026-05-25 21:03:26,1,0,0,1,0.0667,0
1,admin,admin,2026-05-30 15:03:26,2026-05-30 16:03:26,0,0,0,1,0.0333,0
1,admin,admin,2026-06-08 11:03:26,2026-06-08 12:03:26,1,0,0,1,0.3667,0
1,admin,admin,2026-06-08 12:03:26,2026-06-08 13:03:26,4,0,0,2,0.1333,0
1,admin,admin,2026-06-10 03:03:26,2026-06-10 04:03:26,0,0,1,2,0.1167,1
1,admin,admin,2026-06-11 09:03:26,2026-06-11 10:03:26,0,0,0,1,0.0333,0
1,admin,admin,2026-06-11 14:03:26,2026-06-11 15:03:26,4,0,0,1,0.1,0
1,admin,admin,2026-06-20 20:03:26,2026-06-20 21:03:26,4,0,1,1,0.1333,0
1,admin,admin,2026-06-20 21:03:26,2026-06-20 22:03:26,0,0,1,1,0.0167,0
1,admin,admin,2026-06-21 11:03:26,2026-06-21 12:03:26,2,0,0,1,0.0833,0
1,admin,admin,2026-06-21 12:03:26,2026-06-21 13:03:26,0,0,0,1,0.0167,0
1,admin,admin,2026-06-21 15:03:26,2026-06-21 16:03:26,0,0,0,1,0.1,0
1,admin,admin,2026-06-21 16:03:26,2026-06-21 17:03:26,0,0,0,1,0.05,0
9,rose,doctor,2026-05-24 10:12:51,2026-05-24 11:12:51,0,0,0,1,0.05,0
9,rose,doctor,2026-06-21 15:12:51,2026-06-21 16:12:51,1,0,0,1,0.0833,0
9,rose,doctor,2026-06-21 16:12:51,2026-06-21 17:12:51,0,0,0,1,0.0667,0
9,rose,doctor,2026-06-21 18:12:51,2026-06-21 19:12:51,0,0,0,1,0.15,0
8,alto,admin,2026-06-08 11:52:03,2026-06-08 12:52:03,0,0,0,1,0.0833,0
8,alto,admin,2026-06-21 16:52:03,2026-06-21 17:52:03,0,0,0,1,0.0833,0
2,dr_john,doctor,2026-06-08 11:55:45,2026-06-08 12:55:45,4,0,0,1,0.1833,0
2,dr_john,doctor,2026-06-09 18:55:45,2026-06-09 19:55:45,0,0,0,1,0.0333,0
2,dr_john,doctor,2026-06-10 02:55:45,2026-06-10 03:55:45,1,0,1,1,0.0833,1
2,dr_john,doctor,2026-06-20 20:55:45,2026-06-20 21:55:45,0,0,1,1,0.05,0
2,dr_john,doctor,2026-06-21 11:55:45,2026-06-21 12:55:45,1,0,0,1,0.1,0
2,dr_john,doctor,2026-06-21 12:55:45,2026-06-21 13:55:45,0,0,0,1,0.0167,0
2,dr_john,doctor,2026-06-21 14:55:45,2026-06-21 15:55:45,0,0,0,1,0.0333,0
2,dr_john,doctor,2026-06-21 15:55:45,2026-06-21 16:55:45,0,0,0,1,0.0167,0
2,dr_john,doctor,2026-06-21 16:55:45,2026-06-21 17:55:45,0,0,0,1,0.0333,0
2,dr_john,doctor,2026-06-21 17:55:45,2026-06-21 18:55:45,1,0,0,1,0.25,0
6,pharmacist,pharmacist,2026-06-21 15:32:48,2026-06-21 16:32:48,0,0,0,1,0.1,0
5,receptionist,receptionist,2026-06-21 15:36:35,2026-06-21 16:36:35,1,0,0,1,0.1,0
7,lab_tech,lab_technician,2026-06-21 15:40:33,2026-06-21 16:40:33,0,0,0,1,0.2833,0
7,lab_tech,lab_technician,2026-06-21 19:40:33,2026-06-21 20:40:33,0,0,0,1,0.1167,0
4,nurse_grace,nurse,2026-06-21 15:43:43,2026-06-21 16:43:43,1,0,0,1,0.1,0
