id,user_id,username,role,action,status,ip_address,timestamp
1,1,admin,admin,session_start,success,127.0.0.1,2026-05-24 10:03:26
2,1,admin,admin,view_dashboard,success,127.0.0.1,2026-05-24 10:04:37
3,1,admin,admin,view_pharmacy_dashboard,success,127.0.0.1,2026-05-24 10:09:22
4,1,admin,admin,session_end,success,127.0.0.1,2026-05-24 10:09:37
6,9,rose,doctor,view_dashboard,success,127.0.0.1,2026-05-24 10:12:51
5,9,rose,doctor,session_start,success,127.0.0.1,2026-05-24 10:12:51
7,9,rose,doctor,session_end,success,127.0.0.1,2026-05-24 10:13:53
8,1,admin,admin,session_start,success,127.0.0.1,2026-05-25 20:57:03
9,1,admin,admin,view_dashboard,success,127.0.0.1,2026-05-25 20:57:36
10,1,admin,admin,view_patient_list,success,127.0.0.1,2026-05-25 20:57:48
11,1,admin,admin,view_dashboard,success,127.0.0.1,2026-05-25 20:57:51
12,1,admin,admin,session_start,success,127.0.0.1,2026-05-30 15:39:17
13,1,admin,admin,view_dashboard,success,127.0.0.1,2026-05-30 15:39:49
14,1,admin,admin,session_start,success,127.0.0.1,2026-06-08 11:26:30
15,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-08 11:27:15
16,1,admin,admin,view_lab_dashboard,success,127.0.0.1,2026-06-08 11:38:54
17,1,admin,admin,view_lab_request,success,127.0.0.1,2026-06-08 11:39:21
18,1,admin,admin,view_pharmacy_dashboard,success,127.0.0.1,2026-06-08 11:39:24
19,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-08 11:39:56
20,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-08 11:40:11
21,1,admin,admin,view_pharmacy_dashboard,success,127.0.0.1,2026-06-08 11:40:22
22,1,admin,admin,view_lab_dashboard,success,127.0.0.1,2026-06-08 11:40:30
23,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-08 11:41:14
24,1,admin,admin,update_avatar,success,127.0.0.1,2026-06-08 11:41:42
25,1,admin,admin,update_avatar,success,127.0.0.1,2026-06-08 11:42:01
26,1,admin,admin,update_avatar,success,127.0.0.1,2026-06-08 11:42:25
27,1,admin,admin,update_avatar,success,127.0.0.1,2026-06-08 11:42:36
28,1,admin,admin,update_avatar,success,127.0.0.1,2026-06-08 11:42:44
29,1,admin,admin,view_lab_requests,success,127.0.0.1,2026-06-08 11:43:35
30,1,admin,admin,view_lab_requests,success,127.0.0.1,2026-06-08 11:43:52
31,1,admin,admin,view_lab_request,success,127.0.0.1,2026-06-08 11:44:00
32,1,admin,admin,view_lab_results,success,127.0.0.1,2026-06-08 11:44:24
33,1,admin,admin,session_end,success,127.0.0.1,2026-06-08 11:51:19
34,8,alto,admin,session_start,success,127.0.0.1,2026-06-08 11:52:03
35,8,alto,admin,view_dashboard,success,127.0.0.1,2026-06-08 11:53:04
36,8,alto,admin,view_lab_results,success,127.0.0.1,2026-06-08 11:54:24
37,8,alto,admin,view_dashboard,success,127.0.0.1,2026-06-08 11:54:35
38,8,alto,admin,session_end,success,127.0.0.1,2026-06-08 11:54:46
39,2,dr_john,doctor,session_start,success,127.0.0.1,2026-06-08 11:55:45
40,2,dr_john,doctor,view_dashboard,success,127.0.0.1,2026-06-08 11:55:45
41,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-08 11:56:09
42,2,dr_john,doctor,view_dashboard,success,127.0.0.1,2026-06-08 11:56:28
43,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-08 11:56:49
44,2,dr_john,doctor,view_lab_requests,success,127.0.0.1,2026-06-08 11:57:10
45,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-08 11:57:25
46,2,dr_john,doctor,view_dashboard,success,127.0.0.1,2026-06-08 11:57:30
47,2,dr_john,doctor,update_avatar,success,127.0.0.1,2026-06-08 11:58:16
48,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-08 11:58:31
49,2,dr_john,doctor,session_end,success,127.0.0.1,2026-06-08 11:58:40
50,1,admin,admin,session_start,success,127.0.0.1,2026-06-08 12:00:27
51,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-08 12:00:28
52,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-08 12:04:28
53,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-08 12:05:10
54,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-08 12:05:36
55,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-08 12:05:46
56,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-08 12:05:49
57,1,admin,admin,session_start,success,192.168.100.217,2026-06-08 12:27:23
58,1,admin,admin,view_dashboard,success,192.168.100.217,2026-06-08 12:30:08
59,1,admin,admin,view_dashboard,success,192.168.100.217,2026-06-08 12:30:17
60,2,dr_john,doctor,session_start,success,127.0.0.1,2026-06-09 18:58:19
61,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-09 18:59:25
62,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-10 03:21:08
63,2,dr_john,doctor,view_appointments,success,127.0.0.1,2026-06-10 03:22:21
64,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-10 03:22:37
65,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-10 03:22:54
66,2,dr_john,doctor,session_end,success,127.0.0.1,2026-06-10 03:23:09
67,1,admin,admin,session_start,success,127.0.0.1,2026-06-10 03:24:02
68,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-10 03:24:02
69,1,admin,admin,view_appointments,success,127.0.0.1,2026-06-10 03:27:11
70,1,admin,admin,view_appointments,success,127.0.0.1,2026-06-10 03:38:44
71,1,admin,admin,session_start,success,192.168.100.217,2026-06-10 03:54:34
72,1,admin,admin,view_dashboard,success,192.168.100.217,2026-06-10 03:56:26
73,1,admin,admin,view_dashboard,success,192.168.100.217,2026-06-10 03:57:54
74,1,admin,admin,session_start,success,127.0.0.1,2026-06-11 09:14:44
75,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-11 09:15:13
76,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-11 14:44:33
77,1,admin,admin,register_patient,success,127.0.0.1,2026-06-11 14:47:30
78,1,admin,admin,view_patient,success,127.0.0.1,2026-06-11 14:47:30
79,1,admin,admin,view_patient,success,127.0.0.1,2026-06-11 14:48:19
80,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-11 14:48:24
81,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-11 14:48:29
82,1,admin,admin,session_start,success,127.0.0.1,2026-06-20 20:57:01
83,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-20 20:59:42
84,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-20 20:59:57
85,1,admin,admin,view_appointments,success,127.0.0.1,2026-06-20 21:00:01
86,1,admin,admin,view_appointments,success,127.0.0.1,2026-06-20 21:00:31
87,1,admin,admin,register_patient,success,127.0.0.1,2026-06-20 21:02:06
88,1,admin,admin,view_patient,success,127.0.0.1,2026-06-20 21:02:06
89,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-20 21:03:13
90,1,admin,admin,session_end,success,127.0.0.1,2026-06-20 21:07:23
91,2,dr_john,doctor,session_start,success,127.0.0.1,2026-06-20 21:08:23
92,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-20 21:08:23
93,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-20 21:09:12
94,1,admin,admin,session_start,success,127.0.0.1,2026-06-21 11:59:55
95,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-21 12:01:05
96,1,admin,admin,view_doctor_dashboard,success,127.0.0.1,2026-06-21 12:01:37
97,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-21 12:01:58
98,1,admin,admin,view_patient_list,success,127.0.0.1,2026-06-21 12:02:25
99,1,admin,admin,session_end,success,127.0.0.1,2026-06-21 12:03:31
101,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 12:04:40
100,2,dr_john,doctor,session_start,success,127.0.0.1,2026-06-21 12:04:40
102,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 12:18:39
103,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 12:18:51
104,2,dr_john,doctor,view_patient_list,success,127.0.0.1,2026-06-21 12:18:52
105,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 12:18:58
106,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 13:22:50
107,2,dr_john,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 15:27:31
108,2,dr_john,doctor,session_end,success,127.0.0.1,2026-06-21 15:30:35
109,6,pharmacist,pharmacist,session_start,success,127.0.0.1,2026-06-21 15:32:48
110,6,pharmacist,pharmacist,view_pharmacy_dashboard,success,127.0.0.1,2026-06-21 15:32:49
111,6,pharmacist,pharmacist,view_drugs,success,127.0.0.1,2026-06-21 15:33:12
112,6,pharmacist,pharmacist,view_prescriptions,success,127.0.0.1,2026-06-21 15:33:17
113,6,pharmacist,pharmacist,view_pharmacy_dashboard,success,127.0.0.1,2026-06-21 15:33:22
114,6,pharmacist,pharmacist,session_end,success,127.0.0.1,2026-06-21 15:33:37
116,9,rose,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 15:34:59
115,9,rose,doctor,session_start,success,127.0.0.1,2026-06-21 15:34:59
117,9,rose,doctor,view_doctor_dashboard,success,127.0.0.1,2026-06-21 15:35:12
118,9,rose,doctor,view_patient_list,success,127.0.0.1,2026-06-21 15:35:16
119,9,rose,doctor,session_end,success,127.0.0.1,2026-06-21 15:35:31
120,5,receptionist,receptionist,session_start,success,127.0.0.1,2026-06-21 15:36:35
121,5,receptionist,receptionist,view_dashboard,success,127.0.0.1,2026-06-21 15:36:35
122,5,receptionist,receptionist,view_patient_list,success,127.0.0.1,2026-06-21 15:36:45
123,5,receptionist,receptionist,update_avatar,success,127.0.0.1,2026-06-21 15:37:34
124,5,receptionist,receptionist,view_dashboard,success,127.0.0.1,2026-06-21 15:38:56
125,5,receptionist,receptionist,session_end,success,127.0.0.1,2026-06-21 15:38:59
127,7,lab_tech,lab_technician,view_lab_dashboard,success,127.0.0.1,2026-06-21 15:40:33
126,7,lab_tech,lab_technician,session_start,success,127.0.0.1,2026-06-21 15:40:33
128,7,lab_tech,lab_technician,view_lab_requests,success,127.0.0.1,2026-06-21 15:40:51
129,7,lab_tech,lab_technician,view_lab_dashboard,success,127.0.0.1,2026-06-21 15:41:06
130,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:18
131,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:32
132,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:34
133,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:37
134,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:43
135,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:48
136,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:52
137,7,lab_tech,lab_technician,view_lab_results,success,127.0.0.1,2026-06-21 15:41:55
138,7,lab_tech,lab_technician,view_lab_requests,success,127.0.0.1,2026-06-21 15:41:58
139,7,lab_tech,lab_technician,view_lab_requests,success,127.0.0.1,2026-06-21 15:42:01
140,7,lab_tech,lab_technician,view_lab_requests,success,127.0.0.1,2026-06-21 15:42:04
141,7,lab_tech,lab_technician,update_avatar,success,127.0.0.1,2026-06-21 15:42:17
142,7,lab_tech,lab_technician,session_end,success,127.0.0.1,2026-06-21 15:42:26
144,4,nurse_grace,nurse,view_dashboard,success,127.0.0.1,2026-06-21 15:43:43
143,4,nurse_grace,nurse,session_start,success,127.0.0.1,2026-06-21 15:43:43
145,4,nurse_grace,nurse,update_avatar,success,127.0.0.1,2026-06-21 15:44:07
146,4,nurse_grace,nurse,view_patient_list,success,127.0.0.1,2026-06-21 15:44:34
147,4,nurse_grace,nurse,view_dashboard,success,127.0.0.1,2026-06-21 15:44:37
148,4,nurse_grace,nurse,session_end,success,127.0.0.1,2026-06-21 15:45:30
149,1,admin,admin,session_start,success,127.0.0.1,2026-06-21 15:45:57
150,1,admin,admin,view_dashboard,success,127.0.0.1,2026-06-21 15:45:57
151,1,admin,admin,session_end,success,127.0.0.1,2026-06-21 15:48:23
152,1,admin,admin,session_start,success,127.0.0.1,2026-06-21 16:01:36
